-21.87343672 -0.00068994 -0.00001271 	-21.87343672 -0.00042168 -0.00000714	-21.87343672 -0.00069254 -0.00001276 	-21.87343672 -0.00195918 -0.00003906 
-21.84842421 -0.00069101 -0.00001274 	-21.84842421 -0.00042230 -0.00000716	-21.84842421 -0.00069362 -0.00001280 	-21.84842421 -0.00196244 -0.00003918 
-21.82341171 -0.00069207 -0.00001278 	-21.82341171 -0.00042288 -0.00000718	-21.82341171 -0.00069468 -0.00001284 	-21.82341171 -0.00196572 -0.00003932 
-21.79839920 -0.00069313 -0.00001282 	-21.79839920 -0.00042347 -0.00000718	-21.79839920 -0.00069574 -0.00001286 	-21.79839920 -0.00196900 -0.00003944 
-21.77338669 -0.00069421 -0.00001286 	-21.77338669 -0.00042407 -0.00000722	-21.77338669 -0.00069682 -0.00001292 	-21.77338669 -0.00197230 -0.00003956 
-21.74837419 -0.00069528 -0.00001290 	-21.74837419 -0.00042468 -0.00000725	-21.74837419 -0.00069790 -0.00001296 	-21.74837419 -0.00197560 -0.00003968 
-21.72336168 -0.00069635 -0.00001294 	-21.72336168 -0.00042528 -0.00000724	-21.72336168 -0.00069898 -0.00001298 	-21.72336168 -0.00197890 -0.00003982 
-21.69834917 -0.00069743 -0.00001298 	-21.69834917 -0.00042588 -0.00000729	-21.69834917 -0.00070006 -0.00001304 	-21.69834917 -0.00198222 -0.00003994 
-21.67333667 -0.00069852 -0.00001301 	-21.67333667 -0.00042650 -0.00000731	-21.67333667 -0.00070116 -0.00001308 	-21.67333667 -0.00198556 -0.00004006 
-21.64832416 -0.00069959 -0.00001305 	-21.64832416 -0.00042710 -0.00000733	-21.64832416 -0.00070224 -0.00001312 	-21.64832416 -0.00198890 -0.00004018 
-21.62331166 -0.00070069 -0.00001310 	-21.62331166 -0.00042769 -0.00000735	-21.62331166 -0.00070332 -0.00001316 	-21.62331166 -0.00199226 -0.00004032 
-21.59829915 -0.00070179 -0.00001313 	-21.59829915 -0.00042831 -0.00000737	-21.59829915 -0.00070442 -0.00001320 	-21.59829915 -0.00199562 -0.00004046 
-21.57328664 -0.00070288 -0.00001318 	-21.57328664 -0.00042895 -0.00000739	-21.57328664 -0.00070554 -0.00001324 	-21.57328664 -0.00199900 -0.00004058 
-21.54827414 -0.00070398 -0.00001321 	-21.54827414 -0.00042956 -0.00000742	-21.54827414 -0.00070664 -0.00001328 	-21.54827414 -0.00200238 -0.00004070 
-21.52326163 -0.00070509 -0.00001326 	-21.52326163 -0.00043017 -0.00000744	-21.52326163 -0.00070774 -0.00001332 	-21.52326163 -0.00200578 -0.00004084 
-21.49824912 -0.00070619 -0.00001329 	-21.49824912 -0.00043079 -0.00000745	-21.49824912 -0.00070886 -0.00001336 	-21.49824912 -0.00200920 -0.00004098 
-21.47323662 -0.00070730 -0.00001333 	-21.47323662 -0.00043143 -0.00000748	-21.47323662 -0.00070998 -0.00001340 	-21.47323662 -0.00201260 -0.00004110 
-21.44822411 -0.00070842 -0.00001339 	-21.44822411 -0.00043203 -0.00000750	-21.44822411 -0.00071108 -0.00001344 	-21.44822411 -0.00201604 -0.00004124 
-21.42321161 -0.00070953 -0.00001342 	-21.42321161 -0.00043268 -0.00000751	-21.42321161 -0.00071222 -0.00001348 	-21.42321161 -0.00201948 -0.00004138 
-21.39819910 -0.00071066 -0.00001346 	-21.39819910 -0.00043330 -0.00000756	-21.39819910 -0.00071334 -0.00001354 	-21.39819910 -0.00202292 -0.00004150 
-21.37318659 -0.00071178 -0.00001350 	-21.37318659 -0.00043391 -0.00000756	-21.37318659 -0.00071446 -0.00001356 	-21.37318659 -0.00202640 -0.00004162 
-21.34817409 -0.00071289 -0.00001355 	-21.34817409 -0.00043455 -0.00000758	-21.34817409 -0.00071560 -0.00001360 	-21.34817409 -0.00202988 -0.00004176 
-21.32316158 -0.00071404 -0.00001359 	-21.32316158 -0.00043519 -0.00000762	-21.32316158 -0.00071674 -0.00001366 	-21.32316158 -0.00203336 -0.00004190 
-21.29814907 -0.00071516 -0.00001364 	-21.29814907 -0.00043583 -0.00000764	-21.29814907 -0.00071788 -0.00001370 	-21.29814907 -0.00203684 -0.00004204 
-21.27313657 -0.00071630 -0.00001368 	-21.27313657 -0.00043646 -0.00000763	-21.27313657 -0.00071902 -0.00001372 	-21.27313657 -0.00204036 -0.00004218 
-21.24812406 -0.00071744 -0.00001373 	-21.24812406 -0.00043710 -0.00000768	-21.24812406 -0.00072016 -0.00001378 	-21.24812406 -0.00204388 -0.00004232 
-21.22311156 -0.00071859 -0.00001376 	-21.22311156 -0.00043773 -0.00000770	-21.22311156 -0.00072130 -0.00001382 	-21.22311156 -0.00204740 -0.00004244 
-21.19809905 -0.00071974 -0.00001381 	-21.19809905 -0.00043837 -0.00000772	-21.19809905 -0.00072246 -0.00001386 	-21.19809905 -0.00205096 -0.00004258 
-21.17308654 -0.00072090 -0.00001386 	-21.17308654 -0.00043902 -0.00000776	-21.17308654 -0.00072362 -0.00001392 	-21.17308654 -0.00205450 -0.00004272 
-21.14807404 -0.00072204 -0.00001389 	-21.14807404 -0.00043967 -0.00000778	-21.14807404 -0.00072478 -0.00001396 	-21.14807404 -0.00205806 -0.00004286 
-21.12306153 -0.00072320 -0.00001394 	-21.12306153 -0.00044031 -0.00000779	-21.12306153 -0.00072594 -0.00001400 	-21.12306153 -0.00206166 -0.00004302 
-21.09804902 -0.00072437 -0.00001399 	-21.09804902 -0.00044098 -0.00000782	-21.09804902 -0.00072712 -0.00001404 	-21.09804902 -0.00206524 -0.00004314 
-21.07303652 -0.00072553 -0.00001402 	-21.07303652 -0.00044161 -0.00000783	-21.07303652 -0.00072828 -0.00001408 	-21.07303652 -0.00206884 -0.00004330 
-21.04802401 -0.00072670 -0.00001407 	-21.04802401 -0.00044228 -0.00000785	-21.04802401 -0.00072946 -0.00001412 	-21.04802401 -0.00207244 -0.00004342 
-21.02301151 -0.00072788 -0.00001411 	-21.02301151 -0.00044296 -0.00000790	-21.02301151 -0.00073066 -0.00001418 	-21.02301151 -0.00207608 -0.00004356 
-20.99799900 -0.00072906 -0.00001417 	-20.99799900 -0.00044359 -0.00000792	-20.99799900 -0.00073182 -0.00001422 	-20.99799900 -0.00207970 -0.00004370 
-20.97298649 -0.00073024 -0.00001421 	-20.97298649 -0.00044424 -0.00000795	-20.97298649 -0.00073300 -0.00001428 	-20.97298649 -0.00208334 -0.00004386 
-20.94797399 -0.00073142 -0.00001426 	-20.94797399 -0.00044491 -0.00000797	-20.94797399 -0.00073420 -0.00001432 	-20.94797399 -0.00208702 -0.00004402 
-20.92296148 -0.00073262 -0.00001429 	-20.92296148 -0.00044558 -0.00000799	-20.92296148 -0.00073540 -0.00001436 	-20.92296148 -0.00209070 -0.00004416 
